Product Card Id,Supplier ID,Supplier Name,Lead Time (Days),Quality Score,Reliability %
1360,SUP001,ABC Industries,6,96,98
365,SUP002,Global Supplies,8,91,95
627,SUP003,Siemens,24,80,32
502,SUP004,ABB,17,76,17
278,SUP005,Schneider Electric,21,80,99
249,SUP006,Honeywell,11,58,23
191,SUP007,Emerson,12,70,45
917,SUP008,Bosch,19,84,60
828,SUP009,Mitsubishi Electric,28,81,47
642,SUP010,Rockwell Automation,18,66,50
818,SUP011,Eaton,21,96,11
825,SUP012,Parker Hannifin,22,76,71
306,SUP013,SKF,6,60,17
977,SUP014,NSK,14,55,23
44,SUP015,NTN Corporation,6,76,46
251,SUP016,Timken,22,52,10
403,SUP017,SMC Corporation,17,68,94
957,SUP018,Festo,11,67,79
1352,SUP019,Omron,17,55,68
1349,SUP020,Phoenix Contact,10,64,43
1351,SUP021,Weidmüller,4,89,87
60,SUP022,WAGO,7,65,63
24,SUP023,TE Connectivity,30,87,86
567,SUP024,Molex,29,86,93
893,SUP025,Amphenol,15,61,92
924,SUP026,Belden,15,78,58
905,SUP027,3M,5,73,92
564,SUP028,Saint-Gobain,21,65,25
885,SUP029,DuPont,17,84,29
1363,SUP030,BASF,6,100,21
1353,SUP031,Covestro,5,76,63
1357,SUP032,Solvay,25,88,55
906,SUP033,Henkel,5,55,89
886,SUP034,Dow,8,90,10
926,SUP035,LG Chem,30,85,83
116,SUP036,SABIC,4,71,98
235,SUP037,ArcelorMittal,13,63,86
273,SUP038,Nippon Steel,27,81,24
282,SUP039,POSCO,6,77,81
359,SUP040,Tata Steel,23,80,82
565,SUP041,JFE Steel,15,53,20
572,SUP042,Nucor,29,51,48
804,SUP043,Rio Tinto,11,56,31
822,SUP044,BHP,19,82,56
835,SUP045,Vale,26,99,75
276,SUP046,Glencore,15,63,71
823,SUP047,Caterpillar,25,95,79
203,SUP048,Komatsu,25,97,65
364,SUP049,Hitachi Construction Machinery,15,57,40
1350,SUP050,Volvo Construction Equipment,13,67,20
897,SUP051,Liebherr,27,64,48
37,SUP052,John Deere,7,95,92
172,SUP053,CNH Industrial,26,85,27
810,SUP054,Doosan Bobcat,12,94,55
821,SUP055,Sandvik,15,95,43
93,SUP056,Atlas Copco,21,72,11
1347,SUP057,Ingersoll Rand,21,96,88
305,SUP058,Gardner Denver,26,95,77
1004,SUP059,Xylem,18,54,58
1346,SUP060,Grundfos,30,90,67
58,SUP061,KSB,23,79,21
311,SUP062,Sulzer,12,89,20
303,SUP063,Flowserve,6,92,67
1354,SUP064,Alfa Laval,10,75,38
1348,SUP065,Danfoss,14,86,64
78,SUP066,Yaskawa Electric,13,53,24
258,SUP067,Fanuc,13,59,15
797,SUP068,KUKA,25,61,27
981,SUP069,Universal Robots,6,56,27
1355,SUP070,Epson,27,96,69
135,SUP071,Panasonic Industry,15,70,94
134,SUP072,Delta Electronics,27,93,48
845,SUP073,TDK,24,71,36
982,SUP074,Murata Manufacturing,29,53,20
625,SUP075,Kyocera,14,81,76
1359,SUP076,Vishay,16,84,66
1356,SUP077,Infineon Technologies,17,56,83
607,SUP078,STMicroelectronics,18,58,96
1358,SUP079,NXP Semiconductors,29,91,72
1362,SUP080,Texas Instruments,17,53,11
295,SUP081,Analog Devices,10,95,49
127,SUP082,Microchip Technology,5,77,80
61,SUP083,Intel,17,96,48
35,SUP084,AMD,25,52,60
858,SUP085,Qualcomm,24,56,31
860,SUP086,Samsung Electronics,7,67,85
216,SUP087,Foxconn,23,95,22
19,SUP088,Pegatron,26,88,45
226,SUP089,Flex,14,60,84
208,SUP090,Jabil,12,71,30
793,SUP091,Celestica,28,62,49
792,SUP092,Sanmina,18,61,35
786,SUP093,Wistron,17,65,19
778,SUP094,Compal Electronics,24,75,41
777,SUP095,Quanta Computer,17,97,25
775,SUP096,Acer,26,57,65
773,SUP097,Dell Technologies,24,88,81
771,SUP098,HP Inc.,23,85,17
768,SUP099,Lenovo,11,79,10
743,SUP100,Cisco,16,52,77
730,SUP101,Huawei,8,51,62
728,SUP102,Nokia,17,60,75
725,SUP103,Ericsson,24,76,92
724,SUP104,Fujitsu,10,84,74
715,SUP105,NEC,5,85,51
705,SUP106,IBM,19,85,53
703,SUP107,Oracle,21,78,43
691,SUP108,SAP,5,96,40
677,SUP109,Accenture,8,80,22
671,SUP110,DHL Supply Chain,26,79,84
666,SUP111,Kuehne+Nagel,20,91,17
652,SUP112,DB Schenker,23,59,92
647,SUP113,UPS Supply Chain Solutions,27,86,19
646,SUP114,FedEx Supply Chain,13,99,56
1361,SUP115,Maersk,25,73,54
1073,SUP116,CMA CGM,22,93,42
1059,SUP117,C.H. Robinson,23,77,73
1014,SUP118,Expeditors International,24,83,68
